Consumidor,NBO_1,NBO_2,NBO_3,NBO_4,NBO_5
272,48,53,8,9,6
273,26,12,58,37,4
274,20,61,40,73,30
275,8,76,1,9,6
276,21,36,65,8,14
277,26,4,30,52,57
278,42,1,8,11,64
279,46,41,76,78,7
280,51,32,38,65,77
281,66,11,24,34,38
282,39,20,45,2,14
283,14,79,29,37,5
284,33,55,58,60,4
285,5,41,63,66,31
286,33,49,24,41,28
287,14,23,73,50,5
288,52,4,29,9,12
289,70,17,4,58,59
290,38,60,46,67,80
291,21,12,14,63,13
292,25,5,67,29,20
293,79,1,13,15,21
294,38,52,4,8,45
295,12,50,33,76,46
296,58,27,49,11,22
297,31,1,73,5,35
298,30,57,77,3,1
299,11,47,23,38,56
300,20,2,12,58,76
301,60,8,44,61,70
302,32,37,48,68,80
303,21,10,46,4,48
304,7,26,65,18,37
305,14,55,46,69,74
306,36,57,4,19,80
307,17,48,80,20,33
308,19,27,2,64,7
309,14,57,60,34,68
310,16,7,38,57,60
311,57,62,76,72,16
312,64,26,67,74,21
313,76,2,6,57,5
314,64,27,40,44,56
315,60,26,47,56,72
316,68,25,45,13,30
317,36,57,3,10,13
318,27,40,15,46,54
319,3,7,11,28,71
320,59,14,22,24,61
321,55,63,29,4,12
322,55,31,38,62,27
323,23,79,32,2,34
324,18,48,1,9,34
325,19,45,63,76,27
326,11,36,10,12,42
327,20,5,21,17,68
328,9,14,63,69,27
329,20,56,67,38,72
330,75,55,37,61,50
331,32,40,54,56,72
332,28,35,40,50,67
333,45,69,10,34,48
334,34,39,53,4,8
335,12,74,25,11,39
336,52,10,31,32,62
337,33,63,26,19,24
338,42,80,74,21,48
339,27,36,10,4,11
340,62,63,69,37,41
341,49,9,6,14,26
342,7,1,10,11,16
343,6,37,25,11,18
344,19,6,30,10,50
345,38,8,59,15,35
346,12,65,79,80,24
347,76,33,74,57,7
348,45,30,16,52,13
349,54,57,69,10,64
350,80,1,9,42,50
351,20,50,8,17,64
352,32,48,52,38,75
353,57,9,53,62,66
354,26,44,35,41,11
355,8,52,10,19,73
356,35,55,61,74,64
357,17,39,62,66,68
358,11,52,53,58,78
359,31,22,7,19,50
360,56,2,35,69,64
361,24,3,16,68,73
362,47,55,13,26,2
363,52,20,65,26,42
364,77,52,73,4,34
365,41,78,25,31,9
366,63,77,7,16,23
367,55,20,50,51,65
368,33,18,23,27,80
369,77,30,32,48,28
370,24,31,40,76,22
371,76,1,40,54,27
372,2,21,8,17,20
373,66,16,30,37,46
374,70,8,25,31,51
375,41,14,36,13,43
376,55,41,54,57,61
377,34,31,68,16,17
378,18,12,36,7,42
379,57,30,63,72,44
380,51,6,64,21,52
381,65,35,4,52,70
382,8,46,59,72,76
383,1,3,21,10,60
384,40,9,28,26,22
385,70,4,16,50,64
386,5,9,73,34,38
387,21,70,4,24,31
388,19,27,1,11,34
389,44,18,23,36,47
390,79,43,38,50,74
391,32,7,23,11,48
392,18,31,27,11,52
393,8,28,43,46,4
394,28,62,31,51,54
395,47,44,2,13,40
396,16,31,79,24,25
397,73,3,4,47,41
398,34,56,38,79,4
399,46,33,39,29,37
400,21,39,14,59,15
401,16,39,50,7,76
402,57,73,13,68,5
403,51,21,62,63,73
404,71,24,9,67,69
405,2,40,44,64,32
406,17,4,20,24,37
407,45,28,35,67,63
408,61,60,7,33,3
409,24,70,50,66,16
410,29,41,2,9,32
411,74,17,69,80,29
412,64,30,7,38,69
413,14,59,16,26,3
414,42,30,50,29,6
415,5,22,60,44,8
416,50,57,58,62,44
417,24,33,70,17,46
418,9,36,43,65,68
419,76,53,31,1,3
420,62,13,14,15,25
421,2,17,1,16,39
422,74,29,42,61,17
423,58,27,34,15,19
424,11,57,63,15,23
425,62,56,39,75,74
426,16,52,18,37,13
427,67,36,42,65,1
428,4,62,27,63,64
429,40,12,37,47,62
430,66,27,69,39,3
431,62,5,17,64,73
432,46,78,61,21,51
433,3,41,16,29,68
434,24,55,20,38,69
435,17,76,9,21,24
436,61,31,18,22,38
437,24,59,3,7,29
438,23,16,21,57,45
439,39,41,7,12,38
440,45,47,7,21,23
441,74,5,68,8,15
442,27,54,33,45,3
443,76,4,17,21,42
444,7,34,21,4,58
445,35,48,17,26,44
446,54,56,3,7,28
447,37,72,3,31,34
448,75,25,37,57,23
449,31,13,20,39,62
450,11,37,77,30,32
451,19,80,52,18,71
452,39,38,19,40,45
453,26,10,41,48,80
454,41,34,50,63,75
455,62,13,29,30,70
456,62,51,6,53,64
457,41,3,56,7,4
458,40,63,64,15,29
459,16,30,57,60,14
460,77,47,30,2,12
461,78,42,76,10,25
462,27,42,3,18,23
463,74,75,35,7,71
464,56,5,6,13,79
465,72,16,44,13,48
466,57,1,44,76,7
467,37,20,76,80,9
468,55,24,27,34,16
469,43,11,64,1,2
470,55,31,54,13,15
471,57,38,15,25,39
472,18,70,27,14,47
473,17,6,49,52,48
474,40,74,25,26,3
475,11,40,38,39,65
476,21,61,1,29,15
477,32,60,15,65,68
478,1,15,37,19,26
479,19,39,59,64,66
480,35,30,45,50,73
481,13,71,30,34,66
482,79,61,4,44,52
483,25,23,34,38,78
484,36,4,53,2,28
485,47,6,21,27,38
486,62,6,55,32,7
487,35,31,15,8,27
488,58,63,65,27,53
489,30,37,56,54,58
490,30,27,13,24,32
491,13,22,1,50,52
492,19,34,71,10,58
493,25,51,8,67,23
494,78,79,34,29,32
495,3,16,4,21,23
496,21,14,52,41,66
497,8,44,46,56,61
498,75,24,62,10,12
499,40,56,30,65,15
500,7,24,16,29,79
501,49,67,24,37,9
502,22,66,17,18,32
503,5,18,24,45,8
504,60,17,23,38,65
505,30,40,46,74,6
506,44,57,5,69,2
507,3,54,13,25,43
508,66,38,47,53,75
509,1,19,15,53,56
510,67,29,33,35,39
511,33,79,59,66,21
512,55,78,44,4,24
513,37,2,14,12,13
514,43,68,22,48,73
515,17,48,66,61,15
516,17,9,24,19,8
517,12,50,51,57,7
518,10,14,27,42,44
519,9,58,66,13,14
520,52,2,11,27,28
521,50,67,70,74,11
522,79,70,65,41,49
523,1,39,5,41,53
524,76,20,7,8,12
525,34,72,23,48,56
526,9,64,78,27,1
527,4,39,10,12,38
528,2,28,46,56,74
529,12,15,20,37,44
530,3,10,42,61,55
531,54,8,46,50,4
532,7,24,26,59,2
533,65,51,34,23,62
534,67,77,27,40,55
535,4,34,50,67,6
536,12,28,31,60,51
537,68,52,5,34,20
538,79,20,25,53,4
539,20,25,34,42,21
540,26,23,13,16,52
541,76,29,57,13,54
542,22,72,12,80,3
543,50,15,8,27,78
544,37,51,72,4,5
545,34,74,59,1,7
546,58,25,19,51,65
547,8,27,16,22,59
548,17,18,43,8,29
549,14,39,59,5,21
550,7,70,44,64,74
551,11,10,45,67,30
552,60,35,9,19,31
553,56,62,13,58,19
554,33,38,48,11,44
555,67,52,14,15,51
556,73,11,18,23,6
557,58,39,80,27,32
558,11,14,18,40,48
559,45,9,23,32,38
560,24,38,77,79,8
561,33,32,70,14,57
562,17,57,13,55,73
563,33,17,2,67,29
564,29,32,20,51,5
565,43,21,63,79,80
566,63,11,16,30,37
567,47,58,50,19,45
568,37,46,70,22,80
569,34,17,72,3,23
570,19,29,31,50,73
571,30,7,19,1,8
572,54,52,75,9,31
573,73,66,14,29,34
574,16,55,35,19,20
575,37,47,63,77,18
576,51,29,45,27,1
577,78,17,26,56,52
578,16,59,66,40,3
579,62,24,54,36,56
580,1,16,22,24,73
581,1,18,36,55,6
582,13,29,26,5,12
583,26,57,22,80,12
584,55,3,28,33,45
585,14,27,2,3,31
586,35,76,74,13,60
587,19,21,67,31,35
588,61,37,7,20,79
589,32,35,54,71,78
590,38,39,60,78,14
591,49,31,56,72,3
592,74,24,70,79,10
593,71,54,55,17,30
594,49,10,15,50,61
595,44,12,11,1,8
596,10,4,35,48,71
597,31,60,38,29,65
598,50,78,2,59,80
599,21,69,1,62,76
600,61,20,57,33,8
601,4,56,77,20,7
602,29,73,13,40,1
603,43,38,77,9,79
604,15,19,22,37,33
605,16,31,17,8,39
606,26,7,64,60,24
607,21,38,53,35,52
608,55,53,1,70,44
609,19,38,31,68,29
610,33,24,30,77,1
611,80,67,26,7,48
612,79,77,18,26,27
613,43,70,9,54,75
614,16,28,29,60,23
615,13,59,19,50,72
616,16,37,24,56,14
617,32,77,56,6,18
618,30,13,28,31,42
619,22,21,69,50,30
620,45,19,47,8,31
621,12,49,50,78,1
622,66,36,77,16,28
623,48,56,53,10,37
624,42,54,56,58,7
625,80,20,78,53,25
626,27,46,9,72,75
627,52,26,45,79,35
628,8,6,18,52,30
629,28,56,58,71,12
630,65,20,44,17,52
631,45,49,2,7,16
632,7,12,28,33,43
633,14,29,54,5,22
634,54,55,25,53,57
635,41,15,23,24,53
636,24,6,36,49,5
637,34,41,45,17,77
638,37,27,63,78,3
639,69,4,48,6,80
640,5,15,11,19,30
641,49,70,10,61,11
642,27,6,10,65,22
643,42,49,15,64,2
644,9,25,16,39,43
645,35,27,39,77,25
646,13,15,35,23,42
647,34,52,28,33,59
648,3,80,40,9,70
649,1,2,49,53,73
650,3,18,37,38,79
651,21,34,55,75,33
652,8,25,73,26,27
653,73,58,21,45,49
654,21,18,36,76,55
655,34,67,79,71,2
656,38,43,10,30,42
657,41,24,49,16,18
658,46,48,56,35,39
659,44,11,49,4,33
660,18,80,10,11,20
661,10,17,15,71,23
662,4,6,69,61,60
663,50,31,17,48,72
664,36,20,22,48,56
665,16,47,5,24,68
666,48,57,40,3,55
667,25,59,19,32,34
668,14,75,77,18,24
669,62,24,79,3,46
670,19,77,13,51,4
671,28,29,41,53,75
672,20,32,6,24,55
673,35,36,7,15,33
674,29,11,75,32,39
675,4,1,36,42,6
676,33,62,2,30,68
677,23,2,54,78,8
678,5,9,76,79,8
679,37,64,33,69,76
680,46,54,59,1,14
681,37,14,35,50,63
682,26,80,65,6,37
683,53,45,29,70,50
684,59,9,67,23,26
685,38,41,48,73,53
686,17,40,43,78,14
687,74,4,48,18,26
688,2,3,59,13,78
689,56,15,58,20,37
690,19,55,28,63,69
691,28,27,4,24,37
692,39,59,8,11,5
693,17,28,33,57,67
694,43,46,50,15,40
695,9,26,4,27,78
696,52,67,30,26,53
697,48,12,42,44,49
698,67,16,70,31,32
699,8,17,1,28,75
700,57,53,3,69,12
701,1,80,37,35,23
702,11,72,65,32,79
703,49,10,75,19,1
704,27,10,74,14,73
705,45,49,8,15,22
706,65,54,68,10,14
707,48,31,45,66,22
708,31,76,11,59,80
709,70,23,1,19,20
710,43,26,47,50,72
711,6,10,15,58,74
712,3,8,20,40,5
713,33,17,26,28,30
714,58,50,7,28,69
715,21,12,78,4,20
716,2,18,59,9,10
717,19,55,25,31,35
718,4,11,34,37,71
719,44,45,9,51,55
720,73,77,43,6,10
721,49,26,12,44,68
722,72,8,28,15,20
723,23,27,48,2,7
724,49,22,24,61,18
725,17,35,54,30,43
726,38,72,1,12,24
727,10,3,4,37,50
728,49,69,9,14,80
729,31,17,32,33,3
730,56,40,60,34,47
731,34,42,66,65,17
732,40,58,60,16,25
733,16,75,71,34,47
734,38,64,26,32,33
735,70,44,33,41,52
736,16,9,19,20,35
737,68,14,1,43,44
738,62,35,36,14,68
739,70,3,26,28,6
740,29,1,50,7,47
741,22,55,19,38,28
742,77,59,19,57,74
743,24,69,31,34,23
744,54,69,25,24,1
745,6,15,29,64,75
746,35,54,27,2,19
747,22,37,42,64,31
748,33,37,61,62,74
749,70,45,66,8,11
750,6,3,44,50,70
751,15,39,56,10,61
752,59,69,12,16,25
753,60,49,78,5,12
754,56,75,2,59,69
755,24,32,27,65,28
756,60,37,52,5,22
757,18,79,42,28,70
758,37,9,35,26,27
759,34,28,43,65,30
760,68,76,73,56,60
761,1,6,26,73,28
762,51,60,15,5,9
763,28,5,7,13,52
764,21,56,11,16,19
765,7,79,21,65,71
766,44,35,58,8,14
767,43,57,74,1,12
768,73,4,32,48,26
769,41,2,14,6,16
770,1,30,32,33,51
771,2,14,72,76,45
772,60,22,80,53,2
773,11,32,48,43,21
774,2,11,34,27,29
775,58,45,48,54,23
776,74,13,23,44,48
777,32,2,17,18,66
778,50,10,11,61,13
779,44,39,23,31,38
780,65,11,25,45,49
781,24,20,17,27,46
782,22,39,45,37,54
783,38,36,41,50,52
784,47,48,62,4,19
785,66,13,29,49,57
786,77,4,7,28,52
787,55,76,52,2,63
788,48,14,22,25,52
789,46,8,30,40,49
790,48,5,39,51,59
791,15,79,2,66,10
792,36,68,6,13,31
793,37,61,39,45,19
794,11,42,60,64,16
795,27,29,50,68,72
796,47,68,48,10,32
797,12,7,15,31,47
798,13,20,40,24,30
799,66,10,43,61,25
800,57,75,13,62,18
801,16,32,6,64,5
802,50,58,8,25,37
803,35,5,19,71,11
804,41,7,22,14,18
805,63,48,58,2,57
806,45,30,48,58,77
807,43,76,79,27,32
808,19,37,14,2,6
809,19,1,21,34,45
810,17,21,14,25,43
811,22,38,5,50,2
812,33,48,38,37,71
813,25,40,46,64,7
814,6,68,32,18,29
815,74,14,29,11,16
816,33,63,13,20,16
817,11,13,49,79,16
818,33,49,10,36,78
819,22,45,17,67,76
820,63,4,8,17,24
821,42,17,77,27,43
822,43,65,26,37,38
823,47,8,38,57,75
824,43,73,26,28,68
825,36,58,14,63,10
826,28,46,58,78,32
827,35,15,27,43,70
828,46,70,3,9,34
829,58,19,30,53,3
830,65,44,45,51,16
831,14,35,1,16,27
832,61,10,25,26,56
833,41,51,56,64,20
834,35,72,69,6,11
835,8,10,58,73,71
836,73,5,7,16,18
837,64,12,16,17,20
838,31,14,34,64,4
839,21,29,76,20,5
840,14,68,4,12,25
841,39,25,9,63,23
842,80,20,42,57,8
843,26,41,61,63,33
844,33,39,21,49,20
845,8,72,75,13,20
846,41,13,29,59,76
847,47,61,62,38,64
848,76,69,53,54,6
849,39,73,74,29,77
850,65,56,66,22,41
851,59,15,31,36,50
852,16,7,50,69,77
853,5,35,34,69,10
854,39,4,67,6,58
855,66,73,76,37,52
856,28,79,25,73,76
857,29,79,6,11,50
858,29,47,60,15,41
859,12,6,17,68,33
860,19,27,3,50,24
861,54,57,60,61,67
862,27,2,69,31,34
863,22,42,9,11,14
864,69,30,50,14,38
865,73,60,8,36,37
866,46,9,10,21,51
867,44,1,52,73,2
868,79,9,10,5,39
869,11,45,41,9,15
870,69,67,16,18,12
871,20,55,56,62,70
872,55,45,16,35,61
873,15,49,3,17,24
874,55,35,57,2,10
875,72,69,55,1,32
876,31,19,22,14,32
877,59,49,72,16,23
878,70,43,20,22,60
879,36,76,43,62,44
880,16,15,51,18,66
881,70,54,39,75,76
882,41,49,17,27,48
883,14,11,3,63,17
884,5,60,71,9,23
885,6,70,66,71,65
886,51,62,6,31,55
887,23,8,13,71,24
888,61,15,77,36,47
889,14,9,8,16,27
890,36,45,16,53,27
891,6,56,78,3,46
892,55,28,39,71,22
893,25,61,45,7,11
894,50,59,20,42,58
895,19,56,2,53,57
896,18,39,58,16,60
897,76,32,53,4,11
898,43,77,2,20,35
899,19,67,76,12,43
900,13,69,7,33,40
901,42,52,56,69,73
902,44,56,57,64,10
903,27,48,18,76,78
904,65,77,1,5,20
905,74,63,11,25,72
906,14,69,75,4,10
907,6,70,18,22,14
908,53,13,14,21,29
909,33,76,15,22,68
910,2,8,13,58,61
911,64,32,5,22,47
912,77,36,16,34,45
913,14,75,18,24,52
914,47,17,31,35,60
915,9,14,16,58,80
916,6,79,40,60,52
917,76,10,21,27,72
918,31,48,11,12,45
919,37,49,32,3,60
920,6,43,48,64,53
921,43,9,56,35,1
922,23,34,80,10,25
923,13,19,52,46,37
924,73,3,14,52,66
925,61,12,13,5,26
926,1,14,7,13,76
927,75,7,27,2,12
928,67,24,75,36,41
929,34,30,42,49,62
930,49,51,31,33,42
931,39,55,59,78,2
932,38,48,53,66,9
933,66,40,15,16,13
934,6,22,48,9,11
935,3,64,79,4,32
936,17,35,57,72,13
937,45,31,65,16,40
938,52,36,41,47,10
939,19,28,31,78,1
940,40,5,57,8,68
941,67,60,77,46,9
942,31,16,66,26,8
943,33,26,4,55,17
944,60,56,62,38,50
945,18,29,1,4,9
946,38,33,3,25,30
947,35,61,22,29,39
948,44,51,11,77,79
949,26,41,11,12,72
950,46,28,32,17,30
951,71,34,48,52,25
952,45,62,61,66,23
953,39,46,3,30,1
954,24,61,63,10,71
955,51,1,53,59,77
956,25,27,5,24,30
957,55,28,78,32,74
958,14,47,66,2,8
959,60,24,1,14,6
960,10,18,21,59,27
961,14,44,24,32,38
962,65,9,30,34,35
963,55,22,45,28,13
964,58,78,22,53,27
965,30,18,24,73,1
966,20,48,7,62,1
967,60,57,37,20,79
968,6,59,80,1,3
969,55,59,33,45,8
970,10,14,52,79,5
971,13,19,14,17,60
972,18,78,19,4,16
973,49,44,4,68,22
974,23,26,33,48,32
975,17,41,48,8,11
976,28,41,62,77,30
977,37,75,32,9,47
978,42,51,44,20,1
979,46,11,13,33,55
980,22,40,66,76,5
981,44,5,36,6,7
982,37,10,56,27,79
983,24,77,49,56,25
984,1,16,67,56,23
985,16,14,43,55,11
986,68,62,28,3,12
987,6,8,28,32,66
988,75,14,25,30,10
989,17,52,23,24,58
990,43,2,58,29,40
991,33,58,2,16,64
992,72,46,77,1,2
993,58,35,49,5,14
994,3,61,14,26,40
995,13,74,30,49,51
996,52,54,10,43,39
997,4,2,9,15,22
998,60,3,54,7,9
999,48,9,38,58,60
1000,60,72,18,40,38
1001,70,34,75,41,36
1002,35,4,19,17,50
1003,59,77,4,41,44
1004,50,26,29,34,41
1005,37,50,61,18,19
1006,29,34,12,3,4
1007,32,46,9,66,36
1008,29,1,14,27,32
1009,34,54,33,37,57
1010,50,62,67,6,78
1011,32,76,2,6,26
1012,16,56,47,15,25
1013,59,51,20,13,22
1014,30,46,34,1,7
1015,12,8,14,30,63
1016,63,9,15,61,39
1017,5,35,46,3,26
1018,3,38,40,36,43
1019,54,17,79,39,23
1020,66,33,18,44,76
1021,17,25,49,51,61
1022,74,47,64,42,6
1023,1,14,12,43,51
1024,42,53,54,67,3
1025,8,19,48,16,24
1026,46,7,17,15,26
1027,16,21,11,24,10
1028,41,17,21,36,63
1029,27,19,69,15,58
1030,22,36,53,9,19
1031,60,1,70,31,42
1032,39,66,3,30,10
1033,47,79,11,43,15
1034,74,40,22,14,20
1035,56,23,79,14,29
1036,46,12,15,47,8
1037,24,47,79,46,6
1038,32,46,65,29,42
1039,15,33,43,16,21
1040,74,5,40,21,34
1041,32,75,25,79,18
1042,78,39,24,52,1
1043,13,66,1,2,16
1044,33,51,56,45,3
1045,65,50,67,27,41
1046,49,24,80,10,11
1047,24,29,66,3,32
1048,24,50,13,14,70
1049,13,26,17,14,49
1050,51,3,7,37,54
1051,24,46,5,13,20
1052,44,23,65,77,16
1053,41,37,31,34,52
1054,43,50,2,30,77
1055,3,17,60,66,13
1056,7,42,33,67,2
1057,13,68,70,80,1
1058,41,73,79,33,21
1059,5,6,77,11,16
1060,45,67,14,46,37
1061,12,11,53,78,74
1062,41,20,4,13,15
1063,43,33,45,55,72
1064,6,73,15,17,23
1065,47,27,30,76,36
1066,59,22,2,4,33
1067,67,68,43,63,71
1068,49,64,5,18,66
1069,15,44,28,42,14
1070,39,13,53,43,26
1071,3,26,42,45,7
1072,10,56,17,41,62
1073,19,44,25,47,6
1074,43,23,13,19,33
1075,40,50,11,44,53
1076,40,18,34,20,22
1077,3,54,67,77,23
1078,21,11,18,48,17
1079,59,2,21,80,53
1080,2,78,38,59,74
1081,10,40,58,47,4
1082,48,52,65,28,77
1083,11,35,52,26,69
1084,75,56,45,27,7
1085,76,47,65,31,41
1086,53,4,7,9,12
1087,16,23,29,57,76
1088,7,10,12,14,17
1089,4,67,71,23,5
1090,49,26,57,71,6
1091,18,6,19,42,54
1092,5,56,67,78,30
1093,42,49,58,7,8
1094,76,21,51,78,9
1095,51,65,47,48,54
1096,15,17,46,23,34
1097,6,24,68,57,67
1098,37,61,4,25,10
1099,23,50,32,18,37
1100,33,52,5,50,66
1101,61,17,35,7,20
1102,45,42,11,39,80
1103,13,22,49,5,42
1104,60,80,10,19,75
1105,33,43,22,6,53
1106,49,24,10,61,5
1107,19,79,17,40,14
1108,53,15,20,33,68
1109,78,70,75,11,44
1110,52,34,13,57,64
1111,13,62,71,32,15
1112,2,47,5,21,48
1113,32,59,24,19,76
1114,16,28,34,51,74
1115,9,15,42,79,23
1116,25,43,9,48,78
1117,24,57,10,75,26
1118,38,4,16,37,61
1119,17,64,30,47,52
1120,38,3,35,6,13
1121,38,72,5,7,32
1122,70,30,18,11,23
1123,45,35,32,61,16
1124,31,27,13,65,14
1125,39,41,52,56,22
1126,52,79,3,13,39
1127,60,8,56,70,10
1128,2,43,46,56,62
1129,31,48,53,79,4
1130,2,18,43,49,13
1131,67,18,59,49,32
1132,16,44,60,51,71
1133,5,31,74,6,23
1134,60,57,51,69,25
1135,38,1,40,71,30
1136,6,20,68,49,3
1137,5,70,13,34,6
1138,80,1,20,50,71
1139,51,43,36,16,46
1140,46,41,78,64,71
1141,31,7,32,21,34
1142,22,1,68,11,36
1143,60,29,9,35,58
1144,29,43,53,77,14
1145,71,16,40,14,66
1146,1,20,69,59,9
1147,19,4,23,64,75
1148,46,23,59,76,3
